Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.504,Clã,Secção,Energizados,Candeeiro a gás,Candeeiro novo
1240.10.505,Clã,Secção,Energizados,Bilha Campingaz 901,s/tampa
1240.10.506,Clã,Secção,Energizados,Bilha Campingaz 904,c/tampa
1240.10.507,Clã,Secção,Energizados,Bilha Campingaz 904,s/tampa
1240.10.508,Clã,Secção,Energizados,Bilha Campingaz 907,c/tampa
1240.10.509,Clã,Secção,Energizados,Bilha Campingaz 907,s/tampa
1240.10.510,Clã,Secção,Energizados,,
1240.10.511,Clã,Secção,Energizados,,
1240.10.512,Clã,Secção,Energizados,,
1240.10.513,Clã,Secção,Energizados,,
1240.10.514,Clã,Secção,Energizados,,
1240.10.515,Clã,Secção,Energizados,,
1240.10.516,Clã,Secção,Energizados,,
1240.10.517,Clã,Secção,Energizados,,
1240.10.518,Clã,Secção,Energizados,,
1240.10.519,Clã,Secção,Energizados,,
1240.10.520,Clã,Secção,Energizados,,
1240.10.521,Clã,Secção,Energizados,,
1240.10.522,Clã,Secção,Energizados,,
1240.10.523,Clã,Secção,Energizados,,
1240.10.524,Clã,Secção,Energizados,,
1240.10.525,Clã,Secção,Energizados,,
1240.10.526,Clã,Secção,Energizados,,
1240.10.527,Clã,Secção,Energizados,,
1240.10.528,Clã,Secção,Energizados,,
1240.10.529,Clã,Secção,Energizados,,
1240.10.530,Clã,Secção,Energizados,,
1240.10.531,Clã,Secção,Energizados,,
1240.10.532,Clã,Secção,Energizados,,
1240.10.533,Clã,Secção,Energizados,,
1240.10.534,Clã,Secção,Energizados,,
1240.10.535,Clã,Secção,Energizados,,
1240.10.536,Clã,Secção,Energizados,,
1240.10.537,Clã,Secção,Energizados,,
1240.10.538,Clã,Secção,Energizados,,
1240.10.539,Clã,Secção,Energizados,,
1240.10.540,Clã,Secção,Energizados,,
1240.10.541,Clã,Secção,Energizados,,
1240.10.542,Clã,Secção,Energizados,,
1240.10.543,Clã,Secção,Energizados,,
1240.10.544,Clã,Secção,Energizados,,
1240.10.545,Clã,Secção,Energizados,,
1240.10.546,Clã,Secção,Energizados,,
1240.10.547,Clã,Secção,Energizados,,
1240.10.548,Clã,Secção,Energizados,,
1240.10.549,Clã,Secção,Energizados,,
1240.10.550,Clã,Secção,Energizados,,
1240.10.551,Clã,Secção,Energizados,,
1240.10.552,Clã,Secção,Energizados,,
1240.10.553,Clã,Secção,Energizados,,
1240.10.554,Clã,Secção,Energizados,,
1240.10.555,Clã,Secção,Energizados,,
1240.10.556,Clã,Secção,Energizados,,
1240.10.557,Clã,Secção,Energizados,,
1240.10.558,Clã,Secção,Energizados,,
