Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.333,Expedição,Secção,Cozinha,,,
1240.20.334,Expedição,Secção,Cozinha,,,
1240.20.335,Expedição,Secção,Cozinha,,,
1240.20.336,Expedição,Secção,Cozinha,,,
1240.20.337,Expedição,Secção,Cozinha,,,
1240.20.338,Expedição,Secção,Cozinha,,,
1240.20.339,Expedição,Secção,Cozinha,,,
1240.20.340,Expedição,Secção,Cozinha,,,
1240.20.341,Expedição,Secção,Cozinha,,,
1240.20.342,Expedição,Secção,Cozinha,,,
1240.20.343,Expedição,Secção,Cozinha,,,
1240.20.344,Expedição,Secção,Cozinha,,,
1240.20.345,Expedição,Secção,Cozinha,,,
1240.20.346,Expedição,Secção,Cozinha,,,
1240.20.347,Expedição,Secção,Cozinha,,,
1240.20.348,Expedição,Secção,Cozinha,,,
1240.20.349,Expedição,Secção,Cozinha,,,
1240.20.350,Expedição,Secção,Cozinha,,,
1240.20.351,Expedição,Secção,Cozinha,,,
1240.20.352,Expedição,Secção,Cozinha,,,
1240.20.353,Expedição,Secção,Cozinha,,,
1240.20.354,Expedição,Secção,Cozinha,,,
1240.20.355,Expedição,Secção,Cozinha,,,
1240.20.356,Expedição,Secção,Cozinha,,,
1240.20.357,Expedição,Secção,Cozinha,,,
1240.20.358,Expedição,Secção,Cozinha,,,
1240.20.359,Expedição,Secção,Cozinha,,,
1240.20.360,Expedição,Secção,Cozinha,,,
1240.20.361,Expedição,Secção,Cozinha,,,
1240.20.362,Expedição,Secção,Cozinha,,,
1240.20.363,Expedição,Secção,Cozinha,,,
1240.20.364,Expedição,Secção,Cozinha,,,
1240.20.365,Expedição,Secção,Cozinha,,,
1240.20.366,Expedição,Secção,Cozinha,,,
1240.20.367,Expedição,Secção,Cozinha,,,
1240.20.368,Expedição,Secção,Cozinha,,,
1240.20.369,Expedição,Secção,Cozinha,,,
1240.20.370,Expedição,Secção,Cozinha,,,
1240.20.371,Expedição,Secção,Cozinha,,,
1240.20.372,Expedição,Secção,Cozinha,,,
1240.20.373,Expedição,Secção,Cozinha,,,
1240.20.374,Expedição,Secção,Cozinha,,,
1240.20.375,Expedição,Secção,Cozinha,,,
1240.20.376,Expedição,Secção,Cozinha,,,
1240.20.377,Expedição,Secção,Cozinha,,,
1240.20.378,Expedição,Secção,Cozinha,,,
1240.20.379,Expedição,Secção,Cozinha,,,
1240.20.380,Expedição,Secção,Cozinha,,,
1240.20.381,Expedição,Secção,Cozinha,,,
1240.20.382,Expedição,Secção,Cozinha,,,
1240.20.383,Expedição,Secção,Cozinha,,,
1240.20.384,Expedição,Secção,Cozinha,,,
1240.20.385,Expedição,Secção,Cozinha,,,
1240.20.386,Expedição,Secção,Cozinha,,,
1240.20.387,Expedição,Secção,Cozinha,,,
1240.20.388,Expedição,Secção,Cozinha,,,
1240.20.389,Expedição,Secção,Cozinha,,,
1240.20.390,Expedição,Secção,Cozinha,,,
1240.20.391,Expedição,Secção,Cozinha,,,
1240.20.392,Expedição,Secção,Cozinha,,,
1240.20.393,Expedição,Secção,Cozinha,,,
1240.20.394,Expedição,Secção,Cozinha,,,
1240.20.395,Expedição,Secção,Cozinha,,,
1240.20.396,Expedição,Secção,Cozinha,,,
1240.20.397,Expedição,Secção,Cozinha,,,
1240.20.398,Expedição,Secção,Cozinha,,,
1240.20.399,Expedição,Secção,Cozinha,,,
1240.20.400,Expedição,Secção,Ferramentas,Pá dobrável verde,Porca de aperto partida,
1240.20.401,Expedição,Secção,Ferramentas,,,
1240.20.402,Expedição,Secção,Ferramentas,,,
1240.20.403,Expedição,Secção,Ferramentas,,,
1240.20.404,Expedição,Secção,Ferramentas,,,
1240.20.405,Expedição,Secção,Ferramentas,,,
1240.20.406,Expedição,Secção,Ferramentas,,,
1240.20.407,Expedição,Secção,Ferramentas,,,
1240.20.408,Expedição,Secção,Ferramentas,,,
1240.20.409,Expedição,Secção,Ferramentas,,,
1240.20.410,Expedição,Secção,Ferramentas,,,
1240.20.411,Expedição,Secção,Ferramentas,,,
1240.20.412,Expedição,Secção,Ferramentas,,,
1240.20.413,Expedição,Secção,Ferramentas,,,
1240.20.414,Expedição,Secção,Ferramentas,,,
1240.20.415,Expedição,Secção,Ferramentas,,,
1240.20.416,Expedição,Secção,Ferramentas,,,
1240.20.417,Expedição,Secção,Ferramentas,,,
1240.20.418,Expedição,Secção,Ferramentas,,,
1240.20.419,Expedição,Secção,Ferramentas,,,
1240.20.420,Expedição,Secção,Ferramentas,,,
1240.20.421,Expedição,Secção,Ferramentas,,,
1240.20.422,Expedição,Secção,Ferramentas,,,
1240.20.423,Expedição,Secção,Ferramentas,,,
1240.20.424,Expedição,Secção,Ferramentas,,,
1240.20.425,Expedição,Secção,Ferramentas,,,
1240.20.426,Expedição,Secção,Ferramentas,,,
1240.20.427,Expedição,Secção,Ferramentas,,,
1240.20.428,Expedição,Secção,Ferramentas,,,
1240.20.429,Expedição,Secção,Ferramentas,,,
1240.20.430,Expedição,Secção,Ferramentas,,,
1240.20.431,Expedição,Secção,Ferramentas,,,
1240.20.432,Expedição,Secção,Ferramentas,,,
1240.20.433,Expedição,Secção,Ferramentas,,,
1240.20.434,Expedição,Secção,Ferramentas,,,
1240.20.435,Expedição,Secção,Ferramentas,,,
1240.20.436,Expedição,Secção,Ferramentas,,,
1240.20.437,Expedição,Secção,Ferramentas,,,
1240.20.438,Expedição,Secção,Ferramentas,,,
1240.20.439,Expedição,Secção,Ferramentas,,,
1240.20.440,Expedição,Secção,Ferramentas,,,
1240.20.441,Expedição,Secção,Ferramentas,,,
1240.20.442,Expedição,Secção,Ferramentas,,,
1240.20.443,Expedição,Secção,Ferramentas,,,
1240.20.444,Expedição,Secção,Ferramentas,,,
1240.20.445,Expedição,Secção,Ferramentas,,,
1240.20.446,Expedição,Secção,Ferramentas,,,
1240.20.447,Expedição,Secção,Ferramentas,,,
1240.20.448,Expedição,Secção,Ferramentas,,,
1240.20.449,Expedição,Secção,Ferramentas,,,
1240.20.450,Expedição,Secção,Ferramentas,,,
1240.20.451,Expedição,Secção,Ferramentas,,,
1240.20.452,Expedição,Secção,Ferramentas,,,
1240.20.453,Expedição,Secção,Ferramentas,,,
1240.20.454,Expedição,Secção,Ferramentas,,,
1240.20.455,Expedição,Secção,Ferramentas,,,
1240.20.456,Expedição,Secção,Ferramentas,,,
1240.20.457,Expedição,Secção,Ferramentas,,,
1240.20.458,Expedição,Secção,Ferramentas,,,
1240.20.459,Expedição,Secção,Ferramentas,,,
1240.20.460,Expedição,Secção,Ferramentas,,,
1240.20.461,Expedição,Secção,Ferramentas,,,
1240.20.462,Expedição,Secção,Ferramentas,,,
1240.20.463,Expedição,Secção,Ferramentas,,,
1240.20.464,Expedição,Secção,Ferramentas,,,
1240.20.465,Expedição,Secção,Ferramentas,,,
